customer_id,churn_prob,Recency,Frequency,Monetary,ComplaintCnt,Segment_D4,cluster_name,main_reason,suggested_action
C0664,0.9815051229172806,364,0,17139,2,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C0831,0.9815051229172806,362,1,19652,2,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C0781,0.9815051229172806,361,1,769936,4,G3 Big Spenders,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C0837,0.9815051229172806,361,0,7625,1,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1366,0.9815051229172806,358,0,159800,2,G3 Big Spenders,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C0179,0.9815051229172806,356,0,39638,2,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C0358,0.9815051229172806,356,0,24064,1,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C0438,0.9815051229172806,355,1,34956,1,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C0405,0.9815051229172806,354,0,27722,2,G8 Lost,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
C1479,0.9815051229172806,353,2,65267,1,G3 Big Spenders,沉睡客戶,長時間沒下單 + 頻次低,VIP 電話挽留 + 折扣券
